id,COCONUT,MW,SMILES
1,CNP0174048.0,223.12084,CCCC(=O)NCC1=CC=C(O)C(OC)=C1
2,CNP0190516.0,233.17796,CCCCCCCC(=O)NCC1=CC=CC=C1
3,CNP0550815.0,235.15723,CCCC(C)C(=O)NCC1=CC=C(OC)C=C1
4,CNP0550815.1,235.15723,CCC[C@@H](C)C(=O)NCC1=CC=C(OC)C=C1
5,CNP0550815.2,235.15723,CCC[C@H](C)C(=O)NCC1=CC=C(OC)C=C1
6,CNP0555340.0,237.13649,CCOCCC(=O)NCC1=CC=C(OC)C=C1
7,CNP0001306.0,251.15214,CCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
8,CNP0001224.0,263.18853,CCCCCCCC(=O)NCC1=CC=CC(OC)=C1
9,CNP0379856.0,277.16779,COC1=CC(CNC(=O)CCC=CC(C)C)=CC=C1O
10,CNP0169144.0,279.18344,CCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
11,CNP0371729.0,291.18344,COC1=CC(CNC(=O)CCCC=CC(C)C)=CC=C1O
12,CNP0041415.0,291.18344,COC1=CC(CNC(=O)CCCCC=C(C)C)=CC=C1O
13,CNP0130848.0,291.18344,CC(C)C=CCCCCC(=O)NCC1=CC=C(O)C(O)=C1
14,CNP0188271.0,293.19909,CCCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
15,CNP0098302.0,293.19909,COC1=CC=C(CNC(=O)CCCCCC(C)C)C=C1O
16,CNP0162604.0,293.19909,COC1=CC(CNC(=O)CCCCCC(C)C)=CC=C1O
17,CNP0165801.0,294.18311,COC1=CC(COC(=O)CCCCCC(C)C)=CC=C1O
18,CNP0345091.0,305.19909,COC1=CC(CNC(=O)CCCCC=CC(C)C)=CC=C1O
19,CNP0324293.0,306.18311,COC1=CC(COC(=O)CCCCC=CC(C)C)=CC=C1O
20,CNP0075755.0,307.17836,COC1=CC(CNC(=O)CCCCC=CC(C)O)=CC=C1O
21,CNP0164222.0,307.21474,CCCCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
22,CNP0176757.0,307.21474,CCC(C)CCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
23,CNP0176757.1,307.21474,CC[C@H](C)CCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
24,CNP0274859.0,308.19876,COC1=CC(COC(=O)CCCCCCC(C)C)=CC=C1O
25,CNP0270398.0,319.21474,COC1=CC=C(CNC(=O)CCCCC=CC(C)C)C=C1OC
26,CNP0160657.0,319.21474,COC1=CC(CNC(=O)CCCCCC=CC(C)C)=CC=C1O
27,CNP0320821.0,319.21474,CCC(C)C=CCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
28,CNP0320821.1,319.21474,CC[C@@H](C)/C=C/CCCCC(=O)NCC1=CC=C(O)C(OC)=C1
29,CNP0360915.0,321.19401,CCCCOC1=CC=C(CNC(=O)CCCCCC(=O)O)C=C1
30,CNP0317820.0,321.19401,COC1=CC(CNC(=O)CCCCC=CC(C)CO)=CC=C1O
31,CNP0317820.1,321.19401,COC1=CC(CNC(=O)CCCC/C=C/[C@@H](C)CO)=CC=C1O
32,CNP0317820.2,321.19401,COC1=CC(CNC(=O)CCCC/C=C/[C@H](C)CO)=CC=C1O
33,CNP0133500.0,321.23039,CCCCCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
34,CNP0253825.0,321.23039,COC1=CC(CNC(=O)CCCCCCCC(C)C)=CC=C1O
35,CNP0293310.0,321.23039,CCC(C)CCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
36,CNP0293310.1,321.23039,CC[C@H](C)CCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
37,CNP0316539.0,325.11702,COC1=CC=C(CNC(=O)CCCCC2CCSS2)C=C1
38,CNP0343131.0,335.24604,CCCCCCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
39,CNP0161764.0,335.24604,CC(C)CCCCCCC(=O)NCC1=CC=C(O)C(OC(C)C)=C1
40,CNP0509688.0,339.18344,COC1=CC=CC(CNC(=O)CCCCCC(=O)C2=CC=CC=C2)=C1
41,CNP0236849.0,345.23039,COC1=CC=C(CNCCC(CCC(C)C)C2=CC=CO2)C=C1OC
42,CNP0236849.1,345.23039,COC1=CC=C(CNCC[C@@H](CCC(C)C)C2=CC=CO2)C=C1OC
43,CNP0236849.2,345.23039,COC1=CC=C(CNCC[C@H](CCC(C)C)C2=CC=CO2)C=C1OC
44,CNP0250741.0,355.12759,COC1=CC=C(CNC(=O)CCCCC2CCSS2)C=C1OC
45,CNP0292112.0,363.27734,CCCCCCCCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
46,CNP0564267.0,366.23073,O=C(CCCCCCCC(=O)NCC1=CC=CC=C1)NCC1=CC=CC=C1
47,CNP0560643.0,371.22089,CCN(CC)C1=CC(CCC(=O)NCC2=CC=C(OC)C(OC)=C2)=CC=N1
48,CNP0188580.0,377.19507,COC1=CC=C(CCN2C(=O)NC(CCC(=O)NC(C)C)C2=O)C=C1OC
49,CNP0188580.1,377.19507,COC1=CC=C(CCN2C(=O)N[C@@H](CCC(=O)NC(C)C)C2=O)C=C1OC
50,CNP0562115.0,426.21547,CCC(=O)N1CCC2=CC(CNC(=O)CCC3=CC(OC)=C(OC)C(OC)=C3)=CC=C21
51,CNP0490075.0,429.32429,CCCCCC=CCC=CCCCCCCCC(=O)NCC1=CC=C(OC)C(OC)=C1
52,CNP0180282.0,452.26348,COC1=CC(CN2C(=O)N(C(C)C)C(N(O)C(=O)NC(C)C)C2(C)C)=CC(OC)=C1OC
53,CNP0180282.1,452.26348,COC1=CC(CN2C(=O)N(C(C)C)[C@@H](N(O)C(=O)NC(C)C)C2(C)C)=CC(OC)=C1OC
54,CNP0180282.2,452.26348,COC1=CC(CN2C(=O)N(C(C)C)[C@H](N(O)C(=O)NC(C)C)C2(C)C)=CC(OC)=C1OC
55,CNP0219307.0,467.25192,COC1=CC(CNC(=O)CCCCC=CC(C)C)=CC=C1OC1OC(CO)C(O)C(O)C1O
56,CNP0219307.1,467.25192,COC1=CC(CNC(=O)CCCC/C=C/C(C)C)=CC=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
57,CNP0160578.0,469.26757,COC1=CC(CNC(=O)CCCCCCC(C)C)=CC=C1OC1OC(CO)C(O)C(O)C1O
58,CNP0511821.0,471.20055,COC1=CC=C(CNC(=O)CCCCN2C(=O)NC3=CC(OC)=C(OC)C=C3C2=O)C=C1OC
59,CNP0245576.0,610.39819,COC1=CC(CNC(=O)CCCCC=CC(C)C)=CC(C2=CC(CNC(=O)CCCCCCC(C)C)=CC(OC)=C2O)=C1O
