id,PubChem CID
1,44315768
2,11977894
3,122189959
4,70898363
5,25201160
6,2998
7,168836
8,3041745
9,54579000
10,66805144
11,155512690
12,5459532
13,169436701
14,71315300
15,171042796
16,11088005
17,1548942
18,1548943
19,107982
20,169252
21,17070164
22,10470485
23,66552464
24,3065261
25,20058472
26,13345235
27,155547666
28,6440227
29,160785
30,44398616
31,2965103
32,129887673
33,71748835
34,129885333
35,21581804
36,44398654
37,66552465
38,66552406
39,129846156
40,135373389
41,15860088
42,155530611
43,129825255
44,3053256
45,129720132
46,154698619
47,6466497
48,17070167
49,10090630
50,102235522
51,3024586
52,6444746
53,5311093
54,5808649
55,129890441
56,162663370
57,162674214
58,44348320
59,6449767
60,129850543
61,44589214
62,132472613
63,121349852
64,24837735
65,44348331
66,135373273
